JEREMIC LECTURE NOTES EXTRACTION REPORT
==================================================
Original PDF: C:\Users\rajes\Documents\pythonprojects\real-essi-retreval-agent\documents\jeremic_lecture_notes_original.pdf
Output file: C:\Users\rajes\Documents\pythonprojects\real-essi-retreval-agent\documents\jeremic_lecture_notes_verbatim.md
Total pages: 3012
Total extracted characters: 7984591

Pages with fewer than 200 extracted characters:
[78, 79, 154, 623, 1281, 1284, 1285, 1290, 1317, 1708, 1737, 1980, 2454, 2521, 2579, 2580, 2593, 2607, 2615, 2798, 2801, 2805]

Pages with no extracted text:
None

PER-PAGE RESULTS
--------------------------------------------------
Page 1: 2072 characters | OK
Page 49: 6364 characters | OK
Page 50: 5879 characters | OK
Page 51: 6059 characters | OK
Page 52: 6104 characters | OK
Page 53: 6313 characters | OK
Page 54: 5957 characters | OK
Page 55: 6118 characters | OK
Page 56: 6406 characters | OK
Page 57: 6313 characters | OK
Page 58: 5567 characters | OK
Page 59: 6000 characters | OK
Page 60: 6120 characters | OK
Page 61: 6049 characters | OK
Page 62: 6293 characters | OK
Page 63: 5354 characters | OK
Page 64: 6242 characters | OK
Page 65: 5959 characters | OK
Page 66: 6158 characters | OK
Page 67: 6476 characters | OK
Page 68: 6313 characters | OK
Page 69: 5961 characters | OK
Page 70: 6134 characters | OK
Page 71: 5973 characters | OK
Page 72: 6143 characters | OK
Page 73: 6265 characters | OK
Page 74: 5802 characters | OK
Page 75: 6065 characters | OK
Page 76: 5981 characters | OK
Page 77: 1491 characters | OK
Page 78: 143 characters | LOW TEXT
Page 79: 177 characters | LOW TEXT
Page 80: 3688 characters | OK
Page 81: 2229 characters | OK
Page 82: 1424 characters | OK
Page 83: 1602 characters | OK
Page 84: 884 characters | OK
Page 85: 349 characters | OK
Page 86: 4411 characters | OK
Page 87: 4800 characters | OK
Page 88: 3244 characters | OK
Page 89: 4001 characters | OK
Page 90: 3434 characters | OK
Page 91: 4524 characters | OK
Page 92: 6228 characters | OK
Page 93: 3725 characters | OK
Page 94: 3783 characters | OK
Page 95: 3663 characters | OK
Page 96: 3025 characters | OK
Page 97: 1342 characters | OK
Page 98: 2180 characters | OK
Page 99: 944 characters | OK
Page 100: 2734 characters | OK
Page 101: 887 characters | OK
Page 102: 2898 characters | OK
Page 103: 3498 characters | OK
Page 104: 4009 characters | OK
Page 105: 2757 characters | OK
Page 106: 3911 characters | OK
Page 107: 2819 characters | OK
Page 108: 2297 characters | OK
Page 109: 3185 characters | OK
Page 110: 485 characters | OK
Page 111: 3251 characters | OK
Page 112: 4097 characters | OK
Page 113: 2108 characters | OK
Page 114: 3692 characters | OK
Page 115: 8714 characters | OK
Page 116: 1990 characters | OK
Page 117: 4204 characters | OK
Page 118: 2561 characters | OK
Page 119: 756 characters | OK
Page 120: 3499 characters | OK
Page 121: 2971 characters | OK
Page 122: 3029 characters | OK
Page 123: 3839 characters | OK
Page 124: 2395 characters | OK
Page 125: 2832 characters | OK
Page 126: 3248 characters | OK
Page 127: 2820 characters | OK
Page 128: 3131 characters | OK
Page 129: 2930 characters | OK
Page 130: 3349 characters | OK
Page 131: 3341 characters | OK
Page 132: 1059 characters | OK
Page 133: 2611 characters | OK
Page 134: 2965 characters | OK
Page 135: 2991 characters | OK
Page 136: 3909 characters | OK
Page 137: 3236 characters | OK
Page 138: 3554 characters | OK
Page 139: 4411 characters | OK
Page 140: 4462 characters | OK
Page 141: 4757 characters | OK
Page 142: 4186 characters | OK
Page 143: 4686 characters | OK
Page 144: 3666 characters | OK
Page 145: 3363 characters | OK
Page 146: 3149 characters | OK
Page 147: 2783 characters | OK
Page 148: 1313 characters | OK
Page 149: 2262 characters | OK
Page 150: 2850 characters | OK
Page 151: 1461 characters | OK
Page 152: 2980 characters | OK
Page 153: 5931 characters | OK
Page 154: 192 characters | LOW TEXT
Page 155: 1950 characters | OK
Page 156: 749 characters | OK
Page 157: 356 characters | OK
Page 158: 3403 characters | OK
Page 159: 3845 characters | OK
Page 160: 3210 characters | OK
Page 161: 3654 characters | OK
Page 162: 3723 characters | OK
Page 163: 3677 characters | OK
Page 164: 4120 characters | OK
Page 165: 3266 characters | OK
Page 166: 3539 characters | OK
Page 167: 4749 characters | OK
Page 168: 4523 characters | OK
Page 169: 2193 characters | OK
Page 170: 2093 characters | OK
Page 171: 2576 characters | OK
Page 172: 2557 characters | OK
Page 173: 3516 characters | OK
Page 174: 2466 characters | OK
Page 175: 3873 characters | OK
Page 176: 2701 characters | OK
Page 177: 2904 characters | OK
Page 178: 3259 characters | OK
Page 179: 2627 characters | OK
Page 180: 2975 characters | OK
Page 181: 3934 characters | OK
Page 182: 5236 characters | OK
Page 183: 5284 characters | OK
Page 184: 3553 characters | OK
Page 185: 4040 characters | OK
Page 186: 4531 characters | OK
Page 187: 3856 characters | OK
Page 188: 2793 characters | OK
Page 189: 2708 characters | OK
Page 190: 3746 characters | OK
Page 191: 4278 characters | OK
Page 192: 1754 characters | OK
Page 193: 3104 characters | OK
Page 194: 3065 characters | OK
Page 195: 3822 characters | OK
Page 196: 2371 characters | OK
Page 197: 1988 characters | OK
Page 198: 2361 characters | OK
Page 199: 3600 characters | OK
Page 200: 2208 characters | OK
Page 201: 2723 characters | OK
Page 202: 3630 characters | OK
Page 203: 3297 characters | OK
Page 204: 3218 characters | OK
Page 205: 3426 characters | OK
Page 206: 2992 characters | OK
Page 207: 2973 characters | OK
Page 208: 3177 characters | OK
Page 209: 3248 characters | OK
Page 210: 3890 characters | OK
Page 211: 3006 characters | OK
Page 212: 3212 characters | OK
Page 213: 3063 characters | OK
Page 214: 1872 characters | OK
Page 215: 2725 characters | OK
Page 216: 2227 characters | OK
Page 217: 4305 characters | OK
Page 218: 3694 characters | OK
Page 219: 6255 characters | OK
Page 220: 3260 characters | OK
Page 221: 3078 characters | OK
Page 222: 3113 characters | OK
Page 223: 2490 characters | OK
Page 224: 3645 characters | OK
Page 225: 3087 characters | OK
Page 226: 1773 characters | OK
Page 227: 3338 characters | OK
Page 228: 3101 characters | OK
Page 229: 2792 characters | OK
Page 230: 3087 characters | OK
Page 231: 1795 characters | OK
Page 232: 4796 characters | OK
Page 233: 4439 characters | OK
Page 234: 3928 characters | OK
Page 235: 3702 characters | OK
Page 236: 3201 characters | OK
Page 237: 2224 characters | OK
Page 238: 4556 characters | OK
Page 239: 4157 characters | OK
Page 240: 4337 characters | OK
Page 241: 4048 characters | OK
Page 242: 2704 characters | OK
Page 243: 2685 characters | OK
Page 244: 3352 characters | OK
Page 245: 3866 characters | OK
Page 246: 3631 characters | OK
Page 247: 2816 characters | OK
Page 248: 5233 characters | OK
Page 249: 3587 characters | OK
Page 250: 3713 characters | OK
Page 251: 3184 characters | OK
Page 252: 3028 characters | OK
Page 253: 4376 characters | OK
Page 254: 3102 characters | OK
Page 255: 3732 characters | OK
Page 256: 1935 characters | OK
Page 257: 3517 characters | OK
Page 258: 2937 characters | OK
Page 259: 3304 characters | OK
Page 260: 1628 characters | OK
Page 261: 3038 characters | OK
Page 262: 2579 characters | OK
Page 263: 2398 characters | OK
Page 264: 2441 characters | OK
Page 265: 3214 characters | OK
Page 266: 2813 characters | OK
Page 267: 4176 characters | OK
Page 268: 3516 characters | OK
Page 269: 3406 characters | OK
Page 270: 5752 characters | OK
Page 271: 1738 characters | OK
Page 272: 1534 characters | OK
Page 273: 1528 characters | OK
Page 274: 3539 characters | OK
Page 275: 3274 characters | OK
Page 276: 3683 characters | OK
Page 277: 3633 characters | OK
Page 278: 3309 characters | OK
Page 279: 3771 characters | OK
Page 280: 3929 characters | OK
Page 281: 4157 characters | OK
Page 282: 3942 characters | OK
Page 283: 4174 characters | OK
Page 284: 4274 characters | OK
Page 285: 3759 characters | OK
Page 286: 3749 characters | OK
Page 287: 2969 characters | OK
Page 288: 2823 characters | OK
Page 289: 1077 characters | OK
Page 290: 811 characters | OK
Page 291: 577 characters | OK
Page 292: 572 characters | OK
Page 293: 574 characters | OK
Page 294: 2647 characters | OK
Page 295: 1688 characters | OK
Page 296: 3655 characters | OK
Page 297: 1570 characters | OK
Page 298: 722 characters | OK
Page 299: 658 characters | OK
Page 300: 531 characters | OK
Page 301: 3028 characters | OK
Page 302: 814 characters | OK
Page 303: 693 characters | OK
Page 304: 768 characters | OK
Page 305: 3427 characters | OK
Page 306: 2067 characters | OK
Page 307: 665 characters | OK
Page 308: 2674 characters | OK
Page 309: 421 characters | OK
Page 310: 1754 characters | OK
Page 311: 5166 characters | OK
Page 312: 3082 characters | OK
Page 313: 3351 characters | OK
Page 314: 4336 characters | OK
Page 315: 3289 characters | OK
Page 316: 1468 characters | OK
Page 317: 372 characters | OK
Page 318: 3619 characters | OK
Page 319: 3710 characters | OK
Page 320: 4058 characters | OK
Page 321: 2498 characters | OK
Page 322: 3770 characters | OK
Page 323: 4441 characters | OK
Page 324: 5028 characters | OK
Page 325: 4766 characters | OK
Page 326: 3998 characters | OK
Page 327: 5243 characters | OK
Page 328: 5346 characters | OK
Page 329: 1929 characters | OK
Page 330: 4321 characters | OK
Page 331: 4078 characters | OK
Page 332: 3560 characters | OK
Page 333: 3290 characters | OK
Page 334: 4352 characters | OK
Page 335: 3989 characters | OK
Page 336: 4977 characters | OK
Page 337: 4965 characters | OK
Page 338: 4470 characters | OK
Page 339: 4709 characters | OK
Page 340: 4200 characters | OK
Page 341: 4823 characters | OK
Page 342: 4464 characters | OK
Page 343: 4835 characters | OK
Page 344: 4841 characters | OK
Page 345: 5046 characters | OK
Page 346: 3857 characters | OK
Page 347: 3957 characters | OK
Page 348: 4333 characters | OK
Page 349: 4383 characters | OK
Page 350: 3986 characters | OK
Page 351: 3708 characters | OK
Page 352: 3538 characters | OK
Page 353: 3568 characters | OK
Page 354: 5073 characters | OK
Page 355: 3927 characters | OK
Page 356: 2484 characters | OK
Page 357: 4410 characters | OK
Page 358: 4263 characters | OK
Page 359: 4614 characters | OK
Page 360: 2825 characters | OK
Page 361: 4040 characters | OK
Page 362: 4204 characters | OK
Page 363: 3486 characters | OK
Page 364: 2512 characters | OK
Page 365: 357 characters | OK
Page 366: 3616 characters | OK
Page 367: 3056 characters | OK
Page 368: 5374 characters | OK
Page 369: 5001 characters | OK
Page 370: 4568 characters | OK
Page 371: 1659 characters | OK
Page 372: 3974 characters | OK
Page 373: 3738 characters | OK
Page 374: 3751 characters | OK
Page 375: 4120 characters | OK
Page 376: 4075 characters | OK
Page 377: 4218 characters | OK
Page 378: 3961 characters | OK
Page 379: 4688 characters | OK
Page 380: 2640 characters | OK
Page 381: 4489 characters | OK
Page 382: 2589 characters | OK
Page 383: 2394 characters | OK
Page 384: 789 characters | OK
Page 385: 2436 characters | OK
Page 386: 2100 characters | OK
Page 387: 2069 characters | OK
Page 388: 2915 characters | OK
Page 389: 1445 characters | OK
Page 390: 1810 characters | OK
Page 391: 3156 characters | OK
Page 392: 1764 characters | OK
Page 393: 1531 characters | OK
Page 394: 1291 characters | OK
Page 395: 2865 characters | OK
Page 396: 4886 characters | OK
Page 397: 4984 characters | OK
Page 398: 3117 characters | OK
Page 399: 2022 characters | OK
Page 400: 1544 characters | OK
Page 401: 4629 characters | OK
Page 402: 2403 characters | OK
Page 403: 5292 characters | OK
Page 404: 3237 characters | OK
Page 405: 786 characters | OK
Page 406: 4030 characters | OK
Page 407: 820 characters | OK
Page 408: 2817 characters | OK
Page 409: 1948 characters | OK
Page 410: 3742 characters | OK
Page 411: 3177 characters | OK
Page 412: 3490 characters | OK
Page 413: 3929 characters | OK
Page 414: 3346 characters | OK
Page 415: 2743 characters | OK
Page 416: 3431 characters | OK
Page 417: 3520 characters | OK
Page 418: 4022 characters | OK
Page 419: 221 characters | OK
Page 420: 2261 characters | OK
Page 421: 3164 characters | OK
Page 422: 1936 characters | OK
Page 423: 2960 characters | OK
Page 424: 3848 characters | OK
Page 425: 3057 characters | OK
Page 426: 3799 characters | OK
Page 427: 2570 characters | OK
Page 428: 3304 characters | OK
Page 429: 3699 characters | OK
Page 430: 4594 characters | OK
Page 431: 3305 characters | OK
Page 432: 4171 characters | OK
Page 433: 3153 characters | OK
Page 434: 4072 characters | OK
Page 435: 4121 characters | OK
Page 436: 2766 characters | OK
Page 437: 3060 characters | OK
Page 438: 3177 characters | OK
Page 439: 3481 characters | OK
Page 440: 2808 characters | OK
Page 441: 3719 characters | OK
Page 442: 3768 characters | OK
Page 443: 3796 characters | OK
Page 444: 3746 characters | OK
Page 445: 2629 characters | OK
Page 446: 1616 characters | OK
Page 447: 2913 characters | OK
Page 448: 3830 characters | OK
Page 449: 3367 characters | OK
Page 450: 4208 characters | OK
Page 451: 4940 characters | OK
Page 452: 4767 characters | OK
Page 453: 3497 characters | OK
Page 454: 3991 characters | OK
Page 455: 226 characters | OK
Page 456: 3362 characters | OK
Page 457: 3991 characters | OK
Page 458: 3759 characters | OK
Page 459: 4078 characters | OK
Page 460: 3050 characters | OK
Page 461: 3168 characters | OK
Page 462: 3678 characters | OK
Page 463: 3267 characters | OK
Page 464: 3910 characters | OK
Page 465: 4160 characters | OK
Page 466: 3887 characters | OK
Page 467: 1878 characters | OK
Page 468: 267 characters | OK
Page 469: 3197 characters | OK
Page 470: 3735 characters | OK
Page 471: 4501 characters | OK
Page 472: 2411 characters | OK
Page 473: 2277 characters | OK
Page 474: 2881 characters | OK
Page 475: 336 characters | OK
Page 476: 2370 characters | OK
Page 477: 1600 characters | OK
Page 478: 1560 characters | OK
Page 479: 1548 characters | OK
Page 480: 3406 characters | OK
Page 481: 4252 characters | OK
Page 482: 5033 characters | OK
Page 483: 5194 characters | OK
Page 484: 2394 characters | OK
Page 485: 560 characters | OK
Page 486: 3145 characters | OK
Page 487: 2744 characters | OK
Page 488: 3415 characters | OK
Page 489: 5316 characters | OK
Page 490: 4311 characters | OK
Page 491: 4380 characters | OK
Page 492: 2578 characters | OK
Page 493: 2829 characters | OK
Page 494: 4154 characters | OK
Page 495: 5453 characters | OK
Page 496: 4338 characters | OK
Page 497: 4087 characters | OK
Page 498: 3622 characters | OK
Page 499: 4779 characters | OK
Page 500: 5360 characters | OK
Page 501: 6597 characters | OK
Page 502: 3704 characters | OK
Page 503: 4123 characters | OK
Page 504: 4096 characters | OK
Page 505: 1382 characters | OK
Page 506: 2689 characters | OK
Page 507: 2599 characters | OK
Page 508: 1953 characters | OK
Page 509: 2077 characters | OK
Page 510: 1932 characters | OK
Page 511: 1181 characters | OK
Page 512: 307 characters | OK
Page 513: 3872 characters | OK
Page 514: 4939 characters | OK
Page 515: 3393 characters | OK
Page 516: 2274 characters | OK
Page 517: 3035 characters | OK
Page 518: 4967 characters | OK
Page 519: 4951 characters | OK
Page 520: 5041 characters | OK
Page 521: 4565 characters | OK
Page 522: 4429 characters | OK
Page 523: 2469 characters | OK
Page 524: 4550 characters | OK
Page 525: 2609 characters | OK
Page 526: 5405 characters | OK
Page 527: 4028 characters | OK
Page 528: 3695 characters | OK
Page 529: 1644 characters | OK
Page 530: 4033 characters | OK
Page 531: 415 characters | OK
Page 532: 507 characters | OK
Page 533: 534 characters | OK
Page 534: 535 characters | OK
Page 535: 535 characters | OK
Page 536: 537 characters | OK
Page 537: 371 characters | OK
Page 538: 386 characters | OK
Page 539: 375 characters | OK
Page 540: 4738 characters | OK
Page 541: 2748 characters | OK
Page 542: 471 characters | OK
Page 543: 473 characters | OK
Page 544: 375 characters | OK
Page 545: 376 characters | OK
Page 546: 829 characters | OK
Page 547: 386 characters | OK
Page 548: 396 characters | OK
Page 549: 527 characters | OK
Page 550: 518 characters | OK
Page 551: 651 characters | OK
Page 552: 386 characters | OK
Page 553: 396 characters | OK
Page 554: 527 characters | OK
Page 555: 518 characters | OK
Page 556: 520 characters | OK
Page 557: 4376 characters | OK
Page 558: 387 characters | OK
Page 559: 397 characters | OK
Page 560: 397 characters | OK
Page 561: 4679 characters | OK
Page 562: 2390 characters | OK
Page 563: 4469 characters | OK
Page 564: 2357 characters | OK
Page 565: 534 characters | OK
Page 566: 867 characters | OK
Page 567: 363 characters | OK
Page 568: 1499 characters | OK
Page 569: 651 characters | OK
Page 570: 1293 characters | OK
Page 571: 1002 characters | OK
Page 572: 2096 characters | OK
Page 573: 5748 characters | OK
Page 574: 4084 characters | OK
Page 575: 1548 characters | OK
Page 576: 6817 characters | OK
Page 577: 4141 characters | OK
Page 578: 3952 characters | OK
Page 579: 2588 characters | OK
Page 580: 2939 characters | OK
Page 581: 3349 characters | OK
Page 582: 2561 characters | OK
Page 583: 4142 characters | OK
Page 584: 4005 characters | OK
Page 585: 4025 characters | OK
Page 586: 1633 characters | OK
Page 587: 360 characters | OK
Page 588: 355 characters | OK
Page 589: 433 characters | OK
Page 590: 438 characters | OK
Page 591: 351 characters | OK
Page 592: 3912 characters | OK
Page 593: 447 characters | OK
Page 594: 2148 characters | OK
Page 595: 456 characters | OK
Page 596: 4669 characters | OK
Page 597: 3839 characters | OK
Page 598: 4657 characters | OK
Page 599: 4510 characters | OK
Page 600: 4683 characters | OK
Page 601: 1796 characters | OK
Page 602: 339 characters | OK
Page 603: 3532 characters | OK
Page 604: 1051 characters | OK
Page 605: 230 characters | OK
Page 606: 4502 characters | OK
Page 607: 4015 characters | OK
Page 608: 3232 characters | OK
Page 609: 3045 characters | OK
Page 610: 3807 characters | OK
Page 611: 3979 characters | OK
Page 612: 3330 characters | OK
Page 613: 3585 characters | OK
Page 614: 3366 characters | OK
Page 615: 4037 characters | OK
Page 616: 1317 characters | OK
Page 617: 2475 characters | OK
Page 618: 3131 characters | OK
Page 619: 2859 characters | OK
Page 620: 1473 characters | OK
Page 621: 3352 characters | OK
Page 622: 2414 characters | OK
Page 623: 184 characters | LOW TEXT
Page 624: 208 characters | OK
Page 625: 2990 characters | OK
Page 626: 1542 characters | OK
Page 627: 1501 characters | OK
Page 628: 293 characters | OK
Page 629: 3827 characters | OK
Page 630: 714 characters | OK
Page 631: 4686 characters | OK
Page 632: 4230 characters | OK
Page 633: 3683 characters | OK
Page 634: 2241 characters | OK
Page 635: 5346 characters | OK
Page 636: 1337 characters | OK
Page 637: 2735 characters | OK
Page 638: 412 characters | OK
Page 639: 368 characters | OK
Page 640: 421 characters | OK
Page 641: 753 characters | OK
Page 642: 1936 characters | OK
Page 643: 8513 characters | OK
Page 644: 4166 characters | OK
Page 645: 4119 characters | OK
Page 646: 825 characters | OK
Page 647: 3936 characters | OK
Page 648: 4416 characters | OK
Page 649: 2730 characters | OK
Page 650: 3008 characters | OK
Page 651: 4308 characters | OK
Page 652: 4146 characters | OK
Page 653: 3445 characters | OK
Page 654: 3836 characters | OK
Page 655: 4536 characters | OK
Page 656: 4081 characters | OK
Page 657: 4377 characters | OK
Page 658: 4434 characters | OK
Page 659: 2067 characters | OK
Page 660: 4863 characters | OK
Page 661: 887 characters | OK
Page 662: 2772 characters | OK
Page 663: 547 characters | OK
Page 664: 204 characters | OK
Page 665: 1116 characters | OK
Page 666: 261 characters | OK
Page 667: 1075 characters | OK
Page 668: 2478 characters | OK
Page 669: 2739 characters | OK
Page 670: 2406 characters | OK
Page 671: 2562 characters | OK
Page 672: 2558 characters | OK
Page 673: 2827 characters | OK
Page 674: 2056 characters | OK
Page 675: 2006 characters | OK
Page 676: 2897 characters | OK
Page 677: 2251 characters | OK
Page 678: 2313 characters | OK
Page 679: 2437 characters | OK
Page 680: 2735 characters | OK
Page 681: 2598 characters | OK
Page 682: 2552 characters | OK
Page 683: 2353 characters | OK
Page 684: 2609 characters | OK
Page 685: 3036 characters | OK
Page 686: 2014 characters | OK
Page 687: 2055 characters | OK
Page 688: 2313 characters | OK
Page 689: 2094 characters | OK
Page 690: 2171 characters | OK
Page 691: 2468 characters | OK
Page 692: 2846 characters | OK
Page 693: 3447 characters | OK
Page 694: 3013 characters | OK
Page 695: 2377 characters | OK
Page 696: 1806 characters | OK
Page 697: 2578 characters | OK
Page 698: 1466 characters | OK
Page 699: 3055 characters | OK
Page 700: 3064 characters | OK
Page 701: 2783 characters | OK
Page 702: 701 characters | OK
Page 703: 3173 characters | OK
Page 704: 472 characters | OK
Page 705: 2715 characters | OK
Page 706: 3538 characters | OK
Page 707: 1810 characters | OK
Page 708: 2872 characters | OK
Page 709: 2288 characters | OK
Page 710: 2403 characters | OK
Page 711: 2365 characters | OK
Page 712: 2834 characters | OK
Page 713: 2488 characters | OK
Page 714: 3014 characters | OK
Page 715: 2428 characters | OK
Page 716: 1350 characters | OK
Page 717: 3257 characters | OK
Page 718: 2008 characters | OK
Page 719: 1259 characters | OK
Page 720: 2887 characters | OK
Page 721: 2560 characters | OK
Page 722: 3069 characters | OK
Page 723: 2520 characters | OK
Page 724: 1072 characters | OK
Page 725: 308 characters | OK
Page 726: 4211 characters | OK
Page 727: 2524 characters | OK
Page 728: 2822 characters | OK
Page 729: 2078 characters | OK
Page 730: 2139 characters | OK
Page 731: 2734 characters | OK
Page 732: 2388 characters | OK
Page 733: 2323 characters | OK
Page 734: 781 characters | OK
Page 735: 1461 characters | OK
Page 736: 968 characters | OK
Page 737: 1697 characters | OK
Page 738: 1507 characters | OK
Page 739: 1738 characters | OK
Page 740: 1666 characters | OK
Page 741: 1977 characters | OK
Page 742: 2359 characters | OK
Page 743: 2449 characters | OK
Page 744: 2971 characters | OK
Page 745: 436 characters | OK
Page 746: 3240 characters | OK
Page 747: 432 characters | OK
Page 748: 1956 characters | OK
Page 749: 1443 characters | OK
Page 750: 2312 characters | OK
Page 751: 2390 characters | OK
Page 752: 2855 characters | OK
Page 753: 832 characters | OK
Page 754: 2336 characters | OK
Page 755: 1923 characters | OK
Page 756: 2815 characters | OK
Page 757: 1028 characters | OK
Page 758: 2186 characters | OK
Page 759: 2574 characters | OK
Page 760: 2063 characters | OK
Page 761: 1393 characters | OK
Page 762: 2172 characters | OK
Page 763: 1855 characters | OK
Page 764: 1736 characters | OK
Page 765: 1233 characters | OK
Page 766: 1116 characters | OK
Page 767: 1398 characters | OK
Page 768: 3258 characters | OK
Page 769: 1569 characters | OK
Page 770: 1442 characters | OK
Page 771: 1356 characters | OK
Page 772: 1457 characters | OK
Page 773: 1653 characters | OK
Page 774: 1891 characters | OK
Page 775: 2296 characters | OK
Page 776: 1336 characters | OK
Page 777: 951 characters | OK
Page 778: 1871 characters | OK
Page 779: 732 characters | OK
Page 780: 953 characters | OK
Page 781: 656 characters | OK
Page 782: 748 characters | OK
Page 783: 573 characters | OK
Page 784: 903 characters | OK
Page 785: 620 characters | OK
Page 786: 768 characters | OK
Page 787: 1047 characters | OK
Page 788: 686 characters | OK
Page 789: 759 characters | OK
Page 790: 591 characters | OK
Page 791: 1515 characters | OK
Page 792: 1311 characters | OK
Page 793: 1091 characters | OK
Page 794: 1301 characters | OK
Page 795: 2089 characters | OK
Page 796: 2727 characters | OK
Page 797: 1851 characters | OK
Page 798: 13826 characters | OK
Page 799: 2193 characters | OK
Page 800: 2696 characters | OK
Page 801: 2788 characters | OK
Page 802: 618 characters | OK
Page 803: 1068 characters | OK
Page 804: 1164 characters | OK
Page 805: 1732 characters | OK
Page 806: 1919 characters | OK
Page 807: 2879 characters | OK
Page 808: 3232 characters | OK
Page 809: 686 characters | OK
Page 810: 1733 characters | OK
Page 811: 1431 characters | OK
Page 812: 1468 characters | OK
Page 813: 1857 characters | OK
Page 814: 3091 characters | OK
Page 815: 2794 characters | OK
Page 816: 510 characters | OK
Page 817: 2711 characters | OK
Page 818: 1211 characters | OK
Page 819: 2924 characters | OK
Page 820: 1331 characters | OK
Page 821: 3005 characters | OK
Page 822: 1331 characters | OK
Page 823: 2625 characters | OK
Page 824: 3206 characters | OK
Page 825: 2579 characters | OK
Page 826: 3227 characters | OK
Page 827: 2595 characters | OK
Page 828: 3333 characters | OK
Page 829: 2629 characters | OK
Page 830: 3493 characters | OK
Page 831: 2583 characters | OK
Page 832: 3608 characters | OK
Page 833: 2599 characters | OK
Page 834: 3644 characters | OK
Page 835: 1805 characters | OK
Page 836: 690 characters | OK
Page 837: 1732 characters | OK
Page 838: 2259 characters | OK
Page 839: 2779 characters | OK
Page 840: 2836 characters | OK
Page 841: 3375 characters | OK
Page 842: 2559 characters | OK
Page 843: 1208 characters | OK
Page 844: 2562 characters | OK
Page 845: 1208 characters | OK
Page 846: 2710 characters | OK
Page 847: 3284 characters | OK
Page 848: 2539 characters | OK
Page 849: 1838 characters | OK
Page 850: 2570 characters | OK
Page 851: 1840 characters | OK
Page 852: 2590 characters | OK
Page 853: 3423 characters | OK
Page 854: 936 characters | OK
Page 855: 2764 characters | OK
Page 856: 1580 characters | OK
Page 857: 2738 characters | OK
Page 858: 1650 characters | OK
Page 859: 2658 characters | OK
Page 860: 3275 characters | OK
Page 861: 936 characters | OK
Page 862: 2520 characters | OK
Page 863: 2494 characters | OK
Page 864: 2521 characters | OK
Page 865: 2502 characters | OK
Page 866: 2631 characters | OK
Page 867: 3392 characters | OK
Page 868: 1514 characters | OK
Page 869: 584 characters | OK
Page 870: 596 characters | OK
Page 871: 643 characters | OK
Page 872: 643 characters | OK
Page 873: 1202 characters | OK
Page 874: 1239 characters | OK
Page 875: 1245 characters | OK
Page 876: 1756 characters | OK
Page 877: 1382 characters | OK
Page 878: 474 characters | OK
Page 879: 617 characters | OK
Page 880: 609 characters | OK
Page 881: 476 characters | OK
Page 882: 603 characters | OK
Page 883: 899 characters | OK
Page 884: 2651 characters | OK
Page 885: 573 characters | OK
Page 886: 1174 characters | OK
Page 887: 1285 characters | OK
Page 888: 959 characters | OK
Page 889: 522 characters | OK
Page 890: 928 characters | OK
Page 891: 596 characters | OK
Page 892: 592 characters | OK
Page 893: 658 characters | OK
Page 894: 598 characters | OK
Page 895: 668 characters | OK
Page 896: 389 characters | OK
Page 897: 1904 characters | OK
Page 898: 3064 characters | OK
